ID|FirstName|LastName|AuthorInfo|Quotation|Subject
1|Washington|Irving|1783-1859, American Author|A woman's whole life is a history of the affections. The heart is her world: it is there her ambition strives for empire; it is there her avarice seeks for hidden treasures. She sends forth her sympathies on adventure; she embarks her whole soul on the traffic of affection; and if shipwrecked, her case is hopeless -- for it is a bankruptcy of the heart.|Women
2|Selma|James||It is not women's fault if we are so tender. It is in the nature of the lives we live. And further, it would be a terrible catastrophe if men had to live men's lives and women's also. Which is precisely what has happened today -- to women.|Women
3|Elizabeth|Janeway|1913-, American Author, Critic|Like their personal lives, women's history is fragmented, interrupted; a shadow history of human beings whose existence has been shaped by the efforts and the demands of others.|Women
4|Samuel|Johnson|1709-1784, British Author|Nature has given women so much power that the law has very wisely given them little.|Women
5|Erica|Jong|1942-, American Author|Growing up female in America. What a liability! You grew up with your ears full of cosmetic ads, love songs, advice columns, whoreoscopes, Hollywood gossip, and moral dilemmas on the level of TV soap operas. What litanies the advertisers of the good life chanted at you! What curious catechisms!|Women
6|Erica|Jong|1942-, American Author|There is simply no dignified way for a woman to live alone. Oh, she can get along financially perhaps (though not nearly as well as a man), but emotionally she is never left in peace. Her friends, her family, her fellow workers never let her forget that her husbandlessness, her childlessness -- her selfishness, in short -- is a reproach to the American way of life.|Women
7|Emma|Jung||The real thinking of woman is pre-eminently practical and applied. It is something we describe as sound common sense, and is usually directed to what is close at hand and personal. In general, it can be said that feminine mentality manifests an undeveloped, childlike, or primitive character; instead of the thirst for knowledge, curiosity; instead of judgment, prejudice; instead of thinking, imagination or dreaming; instead of will, wishing. Where a man takes up objective problems, a woman contents herself with solving riddles; where he battles for knowledge and understanding, she contents herself with faith or superstition, or else she makes assumptions.|Women
8|Sally|Kempton||Women are natural guerrillas. Scheming, we nestle into the enemy's bed, avoiding open warfare, watching the options, playing the odds.|Women
9|Milan|Kundera|1929-, Czech Author, Critic|Woman is the future of man. That means that the world which was once formed in man's image will now be transformed to the image of woman. The more technical and mechanical, cold and metallic it becomes, the more it will need the kind of warmth that only the woman can give it. If we want to save the world, we must adapt to the woman, let ourselves be led by the woman, let ourselves be penetrated by the Ewigweiblich, the eternally feminine!|Women
10|Francois  De|La Rochefoucauld|1613-1680, French Classical Writer|The common foible of women who have been handsome is to forget that they are no longer so.|Women
11|D.  H.|Lawrence|1885-1930, British Author|The chief thing about a woman -- who is much of a woman -- is that in the long run she is not to be had... She is not to be caught by any of the catch-words, love, beauty, honor, duty, worth, work, salvation -- none of them -- not in the long run. In the long run she only says ''Am I satisfied, or is there some beastly dissatisfaction gnawing and gnawing inside me.'' And if there is some dissatisfaction, it is physical, at least as much as psychic, sex as much as soul.|Women
12|D.  H.|Lawrence|1885-1930, British Author|The one woman who never gives herself is your free woman, who is always giving herself.|Women
13|Fran|Lebowitz|1951-, American Journalist|Being a woman is of special interest only to aspiring male transsexuals. To actual women it is merely a good excuse not to play football.|Women
14|Fran|Lebowitz|1951-, American Journalist|Girls who put out are tramps. Girls who don't are ladies. This is, however, a rather archaic usage of the word. Should one of you boys happen upon a girl who doesn't put out, do not jump to the conclusion that you have found a lady. What you have probably found is a lesbian.|Women
15|John|Lennon|1940-1980, British Rock Musician|Woman is the Nigger of the World.|Women
16|Ada|Leverson||You don't know a woman until you have received a letter from her.|Women
17|Clare  Boothe|Luce|1903-1987, American Author|But if God had wanted us to think just with our wombs, why did He give us a brain?|Women
18|Russell|Lynes|1910-, American Editor, Critic|A lady is nothing very specific. One man's lady is another man's woman; sometimes, one man's lady is another man's wife. Definitions overlap but they almost never coincide.|Women
19||Madonna|1958-, American Musician, Singer, Actress,|I'm anal retentive. I'm a workaholic. I have insomnia. And I'm a control freak. That's why I'm not married. Who could stand me?|Women
